aX,aY,aZ,gX,gY,gZ
-0.141,-0.22,1.452,-42.847,-62.988,11.414
-0.147,-0.314,1.589,-38.94,-25.696,-2.38
-0.152,-0.352,1.271,-28.87,15.381,-12.573
-0.09,-0.348,1.053,-27.222,29.541,-13.855
-0.101,-0.345,1.221,-20.935,14.099,-17.944
-0.184,-0.382,1.365,-14.648,-2.258,-24.048
-0.257,-0.344,1.233,-11.23,-4.578,-22.644
,,,,,
0.203,-0.116,2.393,75.439,56.396,58.96
0.22,-0.091,2.45,98.755,52.185,47.241
0.319,-0.092,2.345,124.512,51.88,37.354
0.374,-0.019,2.192,148.804,47.974,26.428
0.289,0.121,2.097,174.988,38.513,14.404
0.203,0.14,2.005,200.012,27.405,7.568
0.241,0.148,1.794,213.135,17.395,7.202
0.295,0.171,1.575,221.741,5.249,7.812
0.327,0.151,1.495,228.76,-17.334,5.371
0.318,0.13,1.421,228.882,-38.025,0.671
0.319,0.161,1.383,229.37,-48.523,-2.808
0.255,0.174,1.431,229.919,-49.194,-5.493
0.16,0.209,1.5,226.379,-41.565,-6.836
0.255,0.098,1.475,225.037,-39.001,-4.028
0.354,0.079,1.395,224.609,-41.626,-6.592
0.376,0.101,1.35,232.971,-41.26,-18.494
0.361,0.068,1.214,246.277,-38.879,-34.119
0.286,0.138,1.02,262.756,-27.832,-46.57
0.187,0.252,0.875,281.189,-7.874,-50.598
0.148,0.155,0.693,281.311,9.399,-54.443
0.174,0.006,0.413,273.376,19.409,-59.998
0.128,-0.102,0.294,269.043,11.353,-64.453
0.037,-0.178,0.073,268.372,2.014,-69.763
-0.037,-0.269,-0.175,267.273,-5.127,-71.35
-0.12,-0.368,-0.292,262.512,-16.602,-72.937
-0.158,-0.379,-0.486,255.615,-19.531,-77.82
